ID Skill Element,Skill Element,ID Year,Year,LV Value,RCA,CIP,ID CIP,Slug CIP
"2.A.1.a","Reading Comprehension",2020,"2020",4.423303030303029,0.9269702098094167,"Engineering","14","engineering"
"2.A.1.b","Active Listening",2020,"2020",4.024878787878787,0.8567839783477138,"Engineering","14","engineering"
"2.A.1.c","Writing",2020,"2020",4.120863636363638,0.953866224867223,"Engineering","14","engineering"
"2.A.1.d","Speaking",2020,"2020",4.018545454545455,0.8749757536533921,"Engineering","14","engineering"
"2.A.1.e","Mathematics",2020,"2020",4.178166666666667,1.4324983991192266,"Engineering","14","engineering"
"2.A.1.f","Science",2020,"2020",3.01619696969697,1.1295482804327803,"Engineering","14","engineering"
"2.A.2.a","Critical Thinking",2020,"2020",4.232196969696969,0.8983200707087593,"Engineering","14","engineering"
"2.A.2.b","Active Learning",2020,"2020",3.938015151515149,0.9598544289662488,"Engineering","14","engineering"
"2.A.2.c","Learning Strategies",2020,"2020",3.20037878787879,0.8981405856648449,"Engineering","14","engineering"
"2.A.2.d","Monitoring",2020,"2020",3.98039393939394,0.953826163246554,"Engineering","14","engineering"
"2.B.1.a","Social Perceptiveness",2020,"2020",3.5080454545454565,0.8599173983727003,"Engineering","14","engineering"
"2.B.1.b","Coordination",2020,"2020",3.9366212121212145,1.0371848611290029,"Engineering","14","engineering"
"2.B.1.c","Persuasion",2020,"2020",3.586621212121212,0.9433243234943465,"Engineering","14","engineering"
"2.B.1.d","Negotiation",2020,"2020",3.6317727272727254,1.0758588689515836,"Engineering","14","engineering"
"2.B.1.e","Instructing",2020,"2020",3.6725909090909092,0.9745876549590329,"Engineering","14","engineering"
"2.B.1.f","Service Orientation",2020,"2020",3.1602878787878788,0.8639068190625004,"Engineering","14","engineering"
"2.B.2.i","Complex Problem Solving",2020,"2020",4.223484848484849,1.0607642270126119,"Engineering","14","engineering"
"2.B.3.a","Operations Analysis",2020,"2020",2.5510606060606063,0.9803075292640384,"Engineering","14","engineering"
"2.B.3.b","Technology Design",2020,"2020",1.9591666666666663,1.589938604932335,"Engineering","14","engineering"
"2.B.3.c","Equipment Selection",2020,"2020",0.291030303030303,0.2982262837480958,"Engineering","14","engineering"
"2.B.3.d","Installation",2020,"2020",0.08890909090909091,0.42670321033980846,"Engineering","14","engineering"
"2.B.3.e","Programming",2020,"2020",1.3142121212121214,1.1821932947273306,"Engineering","14","engineering"
"2.B.3.g","Operation Monitoring",2020,"2020",2.7200151515151534,1.0487478811984257,"Engineering","14","engineering"
"2.B.3.h","Operation and Control",2020,"2020",1.3316212121212128,0.6041655558120358,"Engineering","14","engineering"
"2.B.3.j","Equipment Maintenance",2020,"2020",0.20972727272727257,0.2824343379133119,"Engineering","14","engineering"
"2.B.3.k","Troubleshooting",2020,"2020",2.0681818181818183,1.4070623724944884,"Engineering","14","engineering"
"2.B.3.l","Repairing",2020,"2020",0.1205,0.1622737781795468,"Engineering","14","engineering"
"2.B.3.m","Quality Control Analysis",2020,"2020",3.151166666666669,1.4582422489465208,"Engineering","14","engineering"
"2.B.4.e","Judgment and Decision Making",2020,"2020",4.174636363636363,0.9852235052731778,"Engineering","14","engineering"
"2.B.4.g","Systems Analysis",2020,"2020",3.670318181818184,0.9896619513977042,"Engineering","14","engineering"
"2.B.4.h","Systems Evaluation",2020,"2020",3.399318181818182,0.9077332185083097,"Engineering","14","engineering"
"2.B.5.a","Time Management",2020,"2020",3.842,1.0389830396427004,"Engineering","14","engineering"
"2.B.5.b","Management of Financial Resources",2020,"2020",2.984590909090909,1.63842233561712,"Engineering","14","engineering"
"2.B.5.c","Management of Material Resources",2020,"2020",2.8486515151515155,1.5968284011458678,"Engineering","14","engineering"
"2.B.5.d","Management of Personnel Resources",2020,"2020",3.6811515151515137,1.1286670390706668,"Engineering","14","engineering"
"2.A.1.a","Reading Comprehension",2019,"2019",4.881153846153843,0.9337231440521184,"Engineering","14","engineering"
"2.A.1.b","Active Listening",2019,"2019",4.122500000000003,0.8779193242222036,"Engineering","14","engineering"
"2.A.1.c","Writing",2019,"2019",4.752403846153846,0.9384393283970855,"Engineering","14","engineering"
"2.A.1.d","Speaking",2019,"2019",4.879999999999997,0.9631201147616296,"Engineering","14","engineering"
"2.A.1.e","Mathematics",2019,"2019",4.492788461538462,2.0695387018173164,"Engineering","14","engineering"
"2.A.1.f","Science",2019,"2019",3.6103846153846177,1.7353460681393853,"Engineering","14","engineering"
"2.A.2.a","Critical Thinking",2019,"2019",4.122500000000003,0.9273749017792032,"Engineering","14","engineering"
"2.A.2.b","Active Learning",2019,"2019",4.123653846153849,0.883483928476057,"Engineering","14","engineering"
"2.A.2.c","Learning Strategies",2019,"2019",4.25125,1.0236340561468795,"Engineering","14","engineering"
"2.A.2.d","Monitoring",2019,"2019",4.120000000000003,0.9112646971347516,"Engineering","14","engineering"
"2.B.1.a","Social Perceptiveness",2019,"2019",3.501153846153846,0.839561065465748,"Engineering","14","engineering"
"2.B.1.b","Coordination",2019,"2019",3.001153846153846,0.847149598356707,"Engineering","14","engineering"
"2.B.1.c","Persuasion",2019,"2019",2.881153846153844,0.8496994275593167,"Engineering","14","engineering"
"2.B.1.d","Negotiation",2019,"2019",3,0.9880419326228895,"Engineering","14","engineering"
"2.B.1.e","Instructing",2019,"2019",4.622500000000003,1.05551749155901,"Engineering","14","engineering"
"2.B.1.f","Service Orientation",2019,"2019",2.8835576923076904,0.8169464356419471,"Engineering","14","engineering"
"2.B.2.i","Complex Problem Solving",2019,"2019",3.3883653846153825,0.7635004086019194,"Engineering","14","engineering"
"2.B.3.a","Operations Analysis",2019,"2019",2.8823076923076902,1.2494338970110948,"Engineering","14","engineering"
"2.B.3.b","Technology Design",2019,"2019",1.8703846153846144,2.4880129223671776,"Engineering","14","engineering"
"2.B.3.c","Equipment Selection",2019,"2019",0.3800000000000001,0.9559439137700898,"Engineering","14","engineering"
"2.B.3.d","Installation",2019,"2019",0,0,"Engineering","14","engineering"
"2.B.3.e","Programming",2019,"2019",1.614038461538462,2.164582201791791,"Engineering","14","engineering"
"2.B.3.g","Operation Monitoring",2019,"2019",1.8739423076923067,1.5997075763956905,"Engineering","14","engineering"
"2.B.3.h","Operation and Control",2019,"2019",0.6188461538461542,1.3890563124484658,"Engineering","14","engineering"
"2.B.3.j","Equipment Maintenance",2019,"2019",0,0,"Engineering","14","engineering"
"2.B.3.k","Troubleshooting",2019,"2019",0.49884615384615383,0.8959134277982774,"Engineering","14","engineering"
"2.B.3.l","Repairing",2019,"2019",0,0,"Engineering","14","engineering"
"2.B.3.m","Quality Control Analysis",2019,"2019",1.4975961538461537,1.252575766537602,"Engineering","14","engineering"
"2.B.4.e","Judgment and Decision Making",2019,"2019",4.001153846153846,1.0069277147480604,"Engineering","14","engineering"
"2.B.4.g","Systems Analysis",2019,"2019",3.3787499999999975,1.0353519468861894,"Engineering","14","engineering"
"2.B.4.h","Systems Evaluation",2019,"2019",3.3811538461538437,1.0371837801465462,"Engineering","14","engineering"
"2.B.5.a","Time Management",2019,"2019",3.0048076923076925,0.7332687400880283,"Engineering","14","engineering"
"2.B.5.b","Management of Financial Resources",2019,"2019",1.24875,0.9639143594269792,"Engineering","14","engineering"
"2.B.5.c","Management of Material Resources",2019,"2019",1.2572115384615385,0.7703859587391482,"Engineering","14","engineering"
"2.B.5.d","Management of Personnel Resources",2019,"2019",2.7524038461538463,0.8646195593423366,"Engineering","14","engineering"
"2.A.1.a","Reading Comprehension",2018,"2018",4.803218390804596,0.8000289769193437,"Engineering","14","engineering"
"2.A.1.b","Active Listening",2018,"2018",4.00425287356322,0.6827443309933493,"Engineering","14","engineering"
"2.A.1.c","Writing",2018,"2018",4.206982758620689,0.769252565062546,"Engineering","14","engineering"
"2.A.1.d","Speaking",2018,"2018",3.927988505747125,0.6357004988061574,"Engineering","14","engineering"
"2.A.1.e","Mathematics",2018,"2018",4.526580459770115,1.1883699133192986,"Engineering","14","engineering"
"2.A.1.f","Science",2018,"2018",3.607413793103448,1.4374948548842448,"Engineering","14","engineering"
"2.A.2.a","Critical Thinking",2018,"2018",4.561695402298852,0.8157748749371606,"Engineering","14","engineering"
"2.A.2.b","Active Learning",2018,"2018",4.487385057471265,0.8274782420607235,"Engineering","14","engineering"
"2.A.2.c","Learning Strategies",2018,"2018",3.408419540229885,0.6346075811612237,"Engineering","14","engineering"
"2.A.2.d","Monitoring",2018,"2018",3.748563218390805,0.6754518451294701,"Engineering","14","engineering"
"2.B.1.a","Social Perceptiveness",2018,"2018",3.1085344827586208,0.5279886579479796,"Engineering","14","engineering"
"2.B.1.b","Coordination",2018,"2018",3.4309482758620704,0.6805896806744769,"Engineering","14","engineering"
"2.B.1.c","Persuasion",2018,"2018",3.0817528735632176,0.6659811509546508,"Engineering","14","engineering"
"2.B.1.d","Negotiation",2018,"2018",2.776580459770115,0.6371467746927874,"Engineering","14","engineering"
"2.B.1.e","Instructing",2018,"2018",3.4662643678160916,0.6058538286359259,"Engineering","14","engineering"
"2.B.1.f","Service Orientation",2018,"2018",2.5268678160919547,0.46788875077399444,"Engineering","14","engineering"
"2.B.2.i","Complex Problem Solving",2018,"2018",4.033620689655174,0.7869315099400239,"Engineering","14","engineering"
"2.B.3.a","Operations Analysis",2018,"2018",3.828333333333332,2.051088110829157,"Engineering","14","engineering"
"2.B.3.b","Technology Design",2018,"2018",3.6339080459770114,3.078498624434612,"Engineering","14","engineering"
"2.B.3.c","Equipment Selection",2018,"2018",3.2760344827586216,5.4025606112361935,"Engineering","14","engineering"
"2.B.3.d","Installation",2018,"2018",1.4348850574712646,4.279761525387581,"Engineering","14","engineering"
"2.B.3.e","Programming",2018,"2018",3.174885057471263,1.6143710551561847,"Engineering","14","engineering"
"2.B.3.g","Operation Monitoring",2018,"2018",3.4597988505747126,1.8195429933275526,"Engineering","14","engineering"
"2.B.3.h","Operation and Control",2018,"2018",2.8875287356321833,2.7506153241023226,"Engineering","14","engineering"
"2.B.3.j","Equipment Maintenance",2018,"2018",2.470890804597701,5.763850603596895,"Engineering","14","engineering"
"2.B.3.k","Troubleshooting",2018,"2018",3.213103448275861,3.5550057134626893,"Engineering","14","engineering"
"2.B.3.l","Repairing",2018,"2018",2.690431034482759,6.116111238931283,"Engineering","14","engineering"
"2.B.3.m","Quality Control Analysis",2018,"2018",3.8718965517241384,1.7777042136822976,"Engineering","14","engineering"
"2.B.4.e","Judgment and Decision Making",2018,"2018",4.033908045977013,0.7845564614083964,"Engineering","14","engineering"
"2.B.4.g","Systems Analysis",2018,"2018",3.93,0.9480434367459878,"Engineering","14","engineering"
"2.B.4.h","Systems Evaluation",2018,"2018",3.880086206896553,0.8960485241240898,"Engineering","14","engineering"
"2.B.5.a","Time Management",2018,"2018",3.4318103448275865,0.6884415741772741,"Engineering","14","engineering"
"2.B.5.b","Management of Financial Resources",2018,"2018",2.020057471264368,1.0525498586882958,"Engineering","14","engineering"
"2.B.5.c","Management of Material Resources",2018,"2018",2.141522988505747,0.9236513326296186,"Engineering","14","engineering"
"2.B.5.d","Management of Personnel Resources",2018,"2018",2.998275862068966,0.6743022012921125,"Engineering","14","engineering"
"2.A.1.a","Reading Comprehension",2017,"2017",4.5129166666666665,0.784316750918296,"Engineering","14","engineering"
"2.A.1.b","Active Listening",2017,"2017",4.0304166666666665,0.7245261355257658,"Engineering","14","engineering"
"2.A.1.c","Writing",2017,"2017",4.0268749999999995,0.7448704452140703,"Engineering","14","engineering"
"2.A.1.d","Speaking",2017,"2017",4.012083333333332,0.7677304751475987,"Engineering","14","engineering"
"2.A.1.e","Mathematics",2017,"2017",4.543333333333334,1.4227863260758078,"Engineering","14","engineering"
"2.A.1.f","Science",2017,"2017",3.9983333333333344,2.5921704286698786,"Engineering","14","engineering"
"2.A.2.a","Critical Thinking",2017,"2017",4.445624999999999,0.8317434567650296,"Engineering","14","engineering"
"2.A.2.b","Active Learning",2017,"2017",4.276041666666667,0.8588790432762677,"Engineering","14","engineering"
"2.A.2.c","Learning Strategies",2017,"2017",3.4966666666666675,0.813516635786725,"Engineering","14","engineering"
"2.A.2.d","Monitoring",2017,"2017",3.8337499999999998,0.769261293651143,"Engineering","14","engineering"
"2.B.1.a","Social Perceptiveness",2017,"2017",3.132916666666667,0.6319878789518955,"Engineering","14","engineering"
"2.B.1.b","Coordination",2017,"2017",3.6045833333333337,0.7609206825735976,"Engineering","14","engineering"
"2.B.1.c","Persuasion",2017,"2017",3.3808333333333334,0.8111789334730617,"Engineering","14","engineering"
"2.B.1.d","Negotiation",2017,"2017",3.0291666666666663,0.8097876063242012,"Engineering","14","engineering"
"2.B.1.e","Instructing",2017,"2017",3.4033333333333324,0.8177091266966116,"Engineering","14","engineering"
"2.B.1.f","Service Orientation",2017,"2017",2.955833333333334,0.6791810086478998,"Engineering","14","engineering"
"2.B.2.i","Complex Problem Solving",2017,"2017",4.265833333333332,0.9632129047418981,"Engineering","14","engineering"
"2.B.3.a","Operations Analysis",2017,"2017",4.102916666666665,1.5368192681457236,"Engineering","14","engineering"
"2.B.3.b","Technology Design",2017,"2017",3.0220833333333332,2.379108472328838,"Engineering","14","engineering"
"2.B.3.c","Equipment Selection",2017,"2017",1.8210416666666671,2.2307156497220277,"Engineering","14","engineering"
"2.B.3.d","Installation",2017,"2017",0.6749999999999999,2.6055224625019378,"Engineering","14","engineering"
"2.B.3.e","Programming",2017,"2017",2.5975000000000006,1.5863852939208987,"Engineering","14","engineering"
"2.B.3.g","Operation Monitoring",2017,"2017",3.0020833333333337,1.2672168216286783,"Engineering","14","engineering"
"2.B.3.h","Operation and Control",2017,"2017",1.7387500000000002,1.0035467693766822,"Engineering","14","engineering"
"2.B.3.j","Equipment Maintenance",2017,"2017",0.84125,1.156236880235246,"Engineering","14","engineering"
"2.B.3.k","Troubleshooting",2017,"2017",2.808333333333333,2.276419897782884,"Engineering","14","engineering"
"2.B.3.l","Repairing",2017,"2017",0.7883333333333334,1.291376900220097,"Engineering","14","engineering"
"2.B.3.m","Quality Control Analysis",2017,"2017",3.319375000000001,1.4181650529522494,"Engineering","14","engineering"
"2.B.4.e","Judgment and Decision Making",2017,"2017",4.315625000000001,0.9509590365989011,"Engineering","14","engineering"
"2.B.4.g","Systems Analysis",2017,"2017",4.013333333333334,1.0584603660850698,"Engineering","14","engineering"
"2.B.4.h","Systems Evaluation",2017,"2017",4.069791666666667,1.088805092808516,"Engineering","14","engineering"
"2.B.5.a","Time Management",2017,"2017",3.662291666666667,0.7858414229249953,"Engineering","14","engineering"
"2.B.5.b","Management of Financial Resources",2017,"2017",2.9754166666666664,1.2545141221650273,"Engineering","14","engineering"
"2.B.5.c","Management of Material Resources",2017,"2017",2.94125,1.2025783678009507,"Engineering","14","engineering"
"2.B.5.d","Management of Personnel Resources",2017,"2017",3.4535416666666667,0.9121883211218756,"Engineering","14","engineering"
"2.A.1.a","Reading Comprehension",2016,"2016",4.612298850574712,0.9596709249581553,"Engineering","14","engineering"
"2.A.1.b","Active Listening",2016,"2016",4.099827586206897,0.9260149331316897,"Engineering","14","engineering"
"2.A.1.c","Writing",2016,"2016",4.0070114942528745,0.91279325931325,"Engineering","14","engineering"
"2.A.1.d","Speaking",2016,"2016",3.943218390804598,0.8516052649990085,"Engineering","14","engineering"
"2.A.1.e","Mathematics",2016,"2016",3.8893678160919536,1.2919395067125523,"Engineering","14","engineering"
"2.A.1.f","Science",2016,"2016",3.7146551724137913,1.6721736734691826,"Engineering","14","engineering"
"2.A.2.a","Critical Thinking",2016,"2016",4.107816091954024,0.8994092529104584,"Engineering","14","engineering"
"2.A.2.b","Active Learning",2016,"2016",3.810344827586206,0.878459356306084,"Engineering","14","engineering"
"2.A.2.c","Learning Strategies",2016,"2016",3.1697126436781597,0.8198828316539961,"Engineering","14","engineering"
"2.A.2.d","Monitoring",2016,"2016",3.793333333333332,0.883560350579899,"Engineering","14","engineering"
"2.B.1.a","Social Perceptiveness",2016,"2016",3.3643103448275857,0.7513904580303948,"Engineering","14","engineering"
"2.B.1.b","Coordination",2016,"2016",3.2528160919540228,0.7400858477717281,"Engineering","14","engineering"
"2.B.1.c","Persuasion",2016,"2016",3.0597701149425287,0.7807470928958612,"Engineering","14","engineering"
"2.B.1.d","Negotiation",2016,"2016",3.079770114942529,0.8930191939905673,"Engineering","14","engineering"
"2.B.1.e","Instructing",2016,"2016",3.2062068965517243,0.8204326453406146,"Engineering","14","engineering"
"2.B.1.f","Service Orientation",2016,"2016",2.964885057471264,0.7947199048362031,"Engineering","14","engineering"
"2.B.2.i","Complex Problem Solving",2016,"2016",4.0024712643678155,1.03000646936045,"Engineering","14","engineering"
"2.B.3.a","Operations Analysis",2016,"2016",3.269310344827585,1.516906027111862,"Engineering","14","engineering"
"2.B.3.b","Technology Design",2016,"2016",2.2171264367816086,1.9668291086648908,"Engineering","14","engineering"
"2.B.3.c","Equipment Selection",2016,"2016",1.2299425287356323,1.2243294162454832,"Engineering","14","engineering"
"2.B.3.d","Installation",2016,"2016",0.390344827586207,3.006243114766115,"Engineering","14","engineering"
"2.B.3.e","Programming",2016,"2016",1.9636206896551724,1.5766372280119338,"Engineering","14","engineering"
"2.B.3.g","Operation Monitoring",2016,"2016",2.8554597701149422,1.4060036932420812,"Engineering","14","engineering"
"2.B.3.h","Operation and Control",2016,"2016",2.1047126436781607,1.344201147014184,"Engineering","14","engineering"
"2.B.3.j","Equipment Maintenance",2016,"2016",0.7191379310344828,0.8644932921387414,"Engineering","14","engineering"
"2.B.3.k","Troubleshooting",2016,"2016",1.900919540229885,1.4854346913236793,"Engineering","14","engineering"
"2.B.3.l","Repairing",2016,"2016",0.7620689655172415,1.0359548643170966,"Engineering","14","engineering"
"2.B.3.m","Quality Control Analysis",2016,"2016",2.8325287356321835,1.1827097540960396,"Engineering","14","engineering"
"2.B.4.e","Judgment and Decision Making",2016,"2016",3.844655172413793,0.9021061401425018,"Engineering","14","engineering"
"2.B.4.g","Systems Analysis",2016,"2016",3.876436781609195,1.2155880510325132,"Engineering","14","engineering"
"2.B.4.h","Systems Evaluation",2016,"2016",3.748103448275861,1.0999885939530483,"Engineering","14","engineering"
"2.B.5.a","Time Management",2016,"2016",3.42816091954023,0.8737435344722815,"Engineering","14","engineering"
"2.B.5.b","Management of Financial Resources",2016,"2016",2.3011494252873566,0.9965791741924884,"Engineering","14","engineering"
